Reactant SMILES,Metal
CCOC(=O)/C=C(\C)c1ccccc1,Ir
CCOC(=O)/C=C(\C)c1ccc(OC)cc1,Ir
CCOC(=O)/C=C(\CC)c1ccccc1,Ir
CCOC(=O)/C=C(/c1ccccc1)C(C)C,Ir
CCOC(=O)/C=C(\C)C1CCCCC1,Ir
CCOC(=O)/C=C(/C)c1ccccc1,Ir
CCOC(=O)/C=C(/CC)c1ccccc1,Ir
CCOC(=O)/C=C(\c1ccccc1)C(C)C,Ir
CCOC(=O)/C=C(/C)C1CCCCC1,Ir
CCOC(=O)/C(C)=C/c1ccccc1,Ir
C/C(=C\c1ccccc1)C(=O)Cc1ccccc1,Ir
C/C(=C\c1ccccc1)C(=O)C(C)C,Ir
C/C=C(\C)C(=O)OCC,Ir
C/C=C(\C)C(=O)Cc1ccccc1,Ir
C/C=C(\C)C(=O)C(C)C,Ir
CCOC(=O)/C(=C/c1ccccc1)CC,Ir
CCC/C(=C\c1ccccc1)C(=O)OCC,Ir
CCOC(=O)/C(=C/c1ccccc1)CC(C)C,Ir
C/C(=C\c1ccccc1)C(=O)O,Ir
CC/C=C(\C)C(=O)OCC,Ir
CCC/C=C(\C)C(=O)OCC,Ir
C/C=C1\CCCOC1=O,Ir
O=C1OCCC/C1=C\c1ccccc1,Ir
C=C(c1ccccc1)C(C)C,Co
C=C(c1ccccc1)C(C)(C)C,Co
C=C(c1ccc(N(C)C)cc1)C(C)C,Co
C=C(c1ccc(OC)cc1)C(C)C,Co
C=C(CC)c1ccc(OC)cc1,Co
C=C(c1ccc(F)cc1)C(C)C,Co
C=C(c1ccccc1)c1ccccc1Cl,Co
C=C(c1cccc(C(F)(F)F)c1)c1ccccc1Cl,Co
C=C(c1cccc(OC)c1)c1ccccc1Cl,Co
C1=C(c2ccccc2)c2ccccc2C1,Co
Fc1ccc(C2=CCc3ccccc32)cc1,Co
Clc1ccc(C2=CCc3cc(Br)ccc32)cc1,Co
C1=C(c2ccccc2)c2ccccc2CC1,Co
COc1ccc(C2=CCCc3ccccc32)cc1,Co
C=C(Cc1ccccc1)c1ccccc1,Co
C=C(Cc1ccccc1OC)c1ccccc1,Co
C=C(c1ccccc1)c1cc(OC)cc(OC)c1,Co
C=C1CCCCc2ccccc21,Co
C=C1CCCc2ccccc21,Co
C=C1CCc2ccccc21,Co
CC1=CCCCc2ccccc21,Co
CC1=CCCc2ccccc21,Co
CC1=CCc2ccccc21,Co
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
CCOC(=O)c1c(C)ncc2ccccc12,Ir
COC(=O)c1c(C)ncc2ccccc12,Ir
Cc1ncc2ccccc2c1C(=O)OCc1ccccc1,Ir
Cc1ncc2ccccc2c1C(=O)OC(C)(C)C,Ir
CCc1ncc2ccccc2c1C(=O)OC,Ir
CCCc1ncc2ccccc2c1C(=O)OCC,Ir
CCCCc1ncc2ccccc2c1C(=O)OC,Ir
COC(=O)c1c(C(C)C)ncc2ccccc12,Ir
